valeur_fonciere,surface_reelle_bati,type_local,nom_commune,code_departement,latitude,longitude,prix_m2,annee
160000.0,40.0,Maison,Saint-Magne-De-Castillon,33,44.868428,-0.07689,4000.0,2023
120000.0,48.0,Maison,Albertville,73,45.677363,6.401413,2500.0,2023
83000.0,112.0,Maison,Nouzerines,23,46.389711,2.108912,741.0714285714286,2023
194000.0,120.0,Maison,Longpré-Les-Corps-Saints,80,50.017916,1.986984,1616.6666666666667,2023
276000.0,130.0,Maison,Rouen,76,49.435692,1.119733,2123.076923076923,2023
50000.0,24.0,Appartement,Montpellier,34,43.608785,3.834146,2083.3333333333335,2023
122070.0,54.0,Maison,Balaguères,09,42.97482,1.007896,2260.5555555555557,2023
135000.0,154.0,Maison,Lescouët-Gouarec,22,48.155953,-3.222877,876.6233766233767,2023
220000.0,58.0,Maison,La Montagne,44,47.184864,-1.685429,3793.103448275862,2023
72280.0,27.0,Appartement,Rennes,35,48.103962,-1.677421,2677.037037037037,2023
68500.0,58.0,Maison,Saint-Pierre,974,-21.356804,55.52667,1181.0344827586207,2023
200000.0,54.0,Appartement,La Ciotat,13,43.174968,5.609904,3703.703703703704,2023
210000.0,91.0,Maison,Montreuil-En-Caux,76,49.676452,1.144191,2307.6923076923076,2023
100000.0,34.0,Appartement,Cahors,46,44.457681,1.452888,2941.176470588235,2023
185400.0,44.0,Appartement,Noisy-Le-Grand,93,48.849811,2.54405,4213.636363636364,2023
275800.0,101.0,Maison,Cavignac,33,45.102488,-0.383127,2730.6930693069307,2023
550000.0,29.0,Appartement,Gagny,93,48.883021,2.538492,18965.51724137931,2023
134000.0,76.0,Maison,Vivier-Au-Court,08,49.740149,4.82101,1763.157894736842,2023
77000.0,45.0,Appartement,Narbonne,11,43.183037,3.007493,1711.111111111111,2023
243660.0,22.0,Appartement,Tarbes,65,43.232903,0.072606,11075.454545454546,2023
155000.0,53.0,Appartement,Lama,2B,42.576183,9.170173,2924.5283018867926,2023
279350.0,110.0,Maison,Roussillon,38,45.363432,4.811183,2539.5454545454545,2023
200000.0,20.0,Appartement,Bayonne,64,43.490139,-1.4789,10000.0,2023
245000.0,27.0,Appartement,Bidart,64,43.429622,-1.597982,9074.074074074075,2023
70000.0,94.0,Maison,Saint-Pierre-En-Auge,14,48.986324,0.033669,744.6808510638298,2023
125000.0,75.0,Maison,Appoigny,89,47.877785,3.525234,1666.6666666666667,2023
257980.0,146.0,Maison,Andrest,65,43.313569,0.061382,1766.986301369863,2023
200000.0,82.0,Maison,Saint-Pierre-Du-Val,27,49.381373,0.381287,2439.0243902439024,2023
909140.0,115.0,Maison,Chaville,92,48.807531,2.181104,7905.565217391304,2023
255630.0,136.0,Maison,Lampaul-Plouarzel,29,48.459917,-4.766227,1879.6323529411766,2023
53000.0,58.0,Appartement,Béziers,34,43.340325,3.216865,913.7931034482758,2023
140000.0,142.0,Maison,Groisy,74,46.003514,6.186219,985.9154929577464,2023
210000.0,200.0,Maison,Pont-Audemer,27,49.354349,0.536311,1050.0,2023
415600.0,137.0,Maison,Beauregard-Baret,26,45.016904,5.147224,3033.5766423357663,2023
138000.0,61.0,Appartement,Romans-Sur-Isère,26,45.044739,5.040188,2262.2950819672133,2023
270000.0,124.0,Appartement,Concarneau,29,47.870501,-3.917535,2177.4193548387098,2023
60000.0,32.0,Appartement,Marseille 1Er Arrondissement,13,43.297279,5.378643,1875.0,2023
202990.0,84.0,Maison,Maidières,54,48.897627,6.041592,2416.5476190476193,2023
230000.0,120.0,Maison,Ouveillan,11,43.289516,2.967996,1916.6666666666667,2023
385000.0,91.0,Appartement,Bordeaux,33,44.821539,-0.550562,4230.7692307692305,2023
231900.0,85.0,Appartement,Draveil,91,48.685578,2.420659,2728.235294117647,2023
550000.0,40.0,Appartement,Paris 10E Arrondissement,75,48.870995,2.37068,13750.0,2023
300000.0,30.0,Appartement,Ferrière-La-Grande,59,50.262195,3.991934,10000.0,2023
166000.0,47.0,Appartement,Bonneval,28,48.180635,1.388208,3531.9148936170213,2023
355000.0,134.0,Maison,Meurchin,62,50.494775,2.90878,2649.2537313432836,2023
103000.0,60.0,Maison,Alizay,27,49.317992,1.172225,1716.6666666666667,2023
455000.0,330.0,Maison,Mézidon Vallée D'Auge,14,49.120818,-0.09928,1378.7878787878788,2023
250000.0,112.0,Maison,Carpentras,84,44.058594,5.065411,2232.1428571428573,2023
266000.0,79.0,Appartement,Crolles,38,45.277233,5.887413,3367.0886075949365,2023
92750.0,60.0,Appartement,Le Val-D'Ajol,88,47.942179,6.515587,1545.8333333333333,2023
420813.0,120.0,Maison,Mordelles,35,48.08353,-1.824065,3506.775,2023
316000.0,33.0,Appartement,Paris 15E Arrondissement,75,48.84978,2.294429,9575.757575757576,2023
485000.0,121.0,Maison,La Queue-En-Brie,94,48.789489,2.586459,4008.2644628099174,2023
564100.0,139.0,Maison,Villefranche-Sur-Saône,69,45.975339,4.74719,4058.273381294964,2023
137000.0,126.0,Maison,Candé-Sur-Beuvron,41,47.511762,1.291021,1087.3015873015872,2023
280000.0,239.0,Maison,Saint-Sauveur,31,43.744756,1.396087,1171.5481171548117,2023
180000.0,80.0,Maison,Flize,08,49.695923,4.784483,2250.0,2023
166000.0,36.0,Appartement,Roquebrune-Sur-Argens,83,43.359813,6.680742,4611.111111111111,2023
125500.0,40.0,Appartement,Lyon 3E Arrondissement,69,45.745884,4.888428,3137.5,2023
500000.0,35.0,Appartement,Paris 16E Arrondissement,75,48.868798,2.288944,14285.714285714286,2023
593000.0,80.0,Maison,Saint-Ouen-Sur-Seine,93,48.903266,2.326643,7412.5,2023
156700.0,87.0,Maison,Saint-Boès,64,43.529471,-0.810739,1801.1494252873563,2023
353000.0,65.0,Maison,Villenave-D'Ornon,33,44.781587,-0.571085,5430.7692307692305,2023
143000.0,166.0,Maison,Bachant,59,50.198756,3.855686,861.4457831325301,2023
97000.0,96.0,Maison,Marly-Gomont,02,49.902284,3.778104,1010.4166666666666,2023
302000.0,52.0,Appartement,Châtillon,92,48.797835,2.292231,5807.692307692308,2023
277520.0,146.0,Maison,Cabannes,13,43.860467,4.949492,1900.8219178082193,2023
380000.0,70.0,Appartement,Yzeure,03,46.564679,3.347613,5428.571428571428,2023
65926.0,21.0,Appartement,La Plagne Tarentaise,73,45.506259,6.675349,3139.3333333333335,2023
126000.0,40.0,Appartement,Rouen,76,49.445138,1.086784,3150.0,2023
45130.0,66.0,Appartement,Ermont,95,48.997503,2.251783,683.7878787878788,2023
148200.0,56.0,Appartement,Chamalières,63,45.777935,3.06262,2646.4285714285716,2023
775000.0,64.0,Maison,Lannepax,32,43.817076,0.26326,12109.375,2023
66550.0,38.0,Maison,Caunes-Minervois,11,43.327389,2.526401,1751.3157894736842,2023
220000.0,135.0,Maison,Sorges Et Ligueux En Périgord,24,45.304606,0.818877,1629.6296296296296,2023
305317.0,71.0,Appartement,Pontoise,95,49.048684,2.08712,4300.239436619719,2023
345000.0,128.0,Maison,Vernon,27,49.078859,1.493929,2695.3125,2023
